numero,planta,trat,nfruto,semillas,peso,mg,especie
1,c16,cn,1,1,0.0053,5.3,oc
2,c16,cn,1,2,0.0073,7.3,oc
3,c16,cn,1,3,0.0075,7.5,oc
4,c16,cn,1,4,0.0071,7.1,oc
5,c16,cn,1,5,0.0074,7.4,oc
6,c16,cn,1,6,0.0065,6.5,oc
7,c16,cn,1,7,0.0075,7.5,oc
8,c16,cn,1,8,0.0071,7.1,oc
9,c16,cn,1,9,0.005,5,oc
10,c16,cn,1,10,0.0074,7.4,oc
11,t9,os,2,1,0.0172,17.2,ot
12,t9,os,2,2,0.0154,15.4,ot
13,t9,os,2,3,0.0151,15.1,ot
14,t9,os,2,4,0.0154,15.4,ot
15,t9,os,2,5,0.0156,15.6,ot
16,t9,os,2,6,0.0154,15.4,ot
17,t9,os,2,7,0.0158,15.8,ot
18,t9,os,2,8,0.0172,17.2,ot
19,t9,os,2,9,0.0162,16.2,ot
20,t9,os,2,10,0.0152,15.2,ot
21,t11,cn,3,1,0.0188,18.8,ot
22,t11,cn,3,2,0.0194,19.4,ot
23,t11,cn,3,3,0.0173,17.3,ot
24,t11,cn,3,4,0.0184,18.4,ot
25,t11,cn,3,5,0.0178,17.8,ot
26,t11,cn,3,6,0.018,18,ot
27,t11,cn,3,7,0.019,19,ot
28,t11,cn,3,8,0.0192,19.2,ot
29,t11,cn,3,9,0.0194,19.4,ot
30,t11,cn,3,10,0.0186,18.6,ot
31,t11,en,4,1,0.0222,22.2,ot
32,t11,en,4,2,0.019,19,ot
33,t11,en,4,3,0.0198,19.8,ot
34,t11,en,4,4,0.0187,18.7,ot
35,t11,en,4,5,0.022,22,ot
36,t11,en,4,6,0.0198,19.8,ot
37,t11,en,4,7,0.0214,21.4,ot
38,t11,en,4,8,0.0209,20.9,ot
39,t11,en,4,9,0.015,15,ot
40,t11,en,4,10,0.0189,18.9,ot
41,t9,au,5,1,0.0161,16.1,ot
42,t9,au,5,2,0.0174,17.4,ot
43,t9,au,5,3,0.0181,18.1,ot
44,t9,au,5,4,0.0178,17.8,ot
45,t9,au,5,5,0.0165,16.5,ot
46,t9,au,5,6,0.0164,16.4,ot
47,t9,au,5,7,0.0175,17.5,ot
48,t9,au,5,8,0.0162,16.2,ot
49,t9,au,5,9,0.0162,16.2,ot
50,t9,au,5,10,0.0172,17.2,ot
51,c18,cn,6,1,0.0056,5.6,oc
52,c18,cn,6,2,0.0061,6.1,oc
53,c18,cn,6,3,0.0049,4.9,oc
54,c18,cn,6,4,0.0057,5.7,oc
55,c18,cn,6,5,0.0059,5.9,oc
56,c18,cn,6,6,0.0058,5.8,oc
57,c18,cn,6,7,0.0059,5.9,oc
58,c18,cn,6,8,0.0049,4.9,oc
59,c18,cn,6,9,0.006,6,oc
60,c18,cn,6,10,0.0055,5.5,oc
61,t11,oc,7,1,0.025,25,ot
62,t11,oc,7,2,0.0228,22.8,ot
63,t11,oc,7,3,0.0228,22.8,ot
64,t11,oc,7,4,0.0248,24.8,ot
65,t11,oc,7,5,0.0218,21.8,ot
66,t11,oc,7,6,0.0199,19.9,ot
67,t11,oc,7,7,0.0245,24.5,ot
68,t11,oc,7,8,0.0217,21.7,ot
69,t11,oc,7,9,0.0231,23.1,ot
70,t11,oc,7,10,0.0217,21.7,ot
71,c18,en,8,1,0.0088,8.8,oc
72,c18,en,8,2,0.0072,7.2,oc
73,c18,en,8,3,0.0078,7.8,oc
74,c18,en,8,4,0.0082,8.2,oc
75,c18,en,8,5,0.0083,8.3,oc
76,c18,en,8,6,0.0077,7.7,oc
77,c18,en,8,7,0.0085,8.5,oc
78,c18,en,8,8,0.0085,8.5,oc
79,c18,en,8,9,0.0079,7.9,oc
80,c18,en,8,10,0.0082,8.2,oc
81,t11,or,9,1,0.0182,18.2,ot
82,t11,or,9,2,0.0213,21.3,ot
83,t11,or,9,3,0.0193,19.3,ot
84,t11,or,9,4,0.0214,21.4,ot
85,t11,or,9,5,0.0197,19.7,ot
86,t11,or,9,6,0.0179,17.9,ot
87,t11,or,9,7,0.0213,21.3,ot
88,t11,or,9,8,0.0196,19.6,ot
89,t11,or,9,9,0.0196,19.6,ot
90,t11,or,9,10,0.0209,20.9,ot
91,cor,en,10,1,0.0111,11.1,oc
92,cor,en,10,2,0.0103,10.3,oc
93,cor,en,10,3,0.0101,10.1,oc
94,cor,en,10,4,0.0101,10.1,oc
95,cor,en,10,5,0.0111,11.1,oc
96,cor,en,10,6,0.0102,10.2,oc
97,cor,en,10,7,0.0016,1.6,oc
98,cor,en,10,8,0.0026,2.6,oc
99,cor,en,10,9,0.0021,2.1,oc
100,cor,en,10,10,0.0025,2.5,oc
101,t9,or,11,1,0.0181,18.1,ot
102,t9,or,11,2,0.0171,17.1,ot
103,t9,or,11,3,0.0168,16.8,ot
104,t9,or,11,4,0.02,20,ot
105,t9,or,11,5,0.0183,18.3,ot
106,t9,or,11,6,0.0159,15.9,ot
107,t9,or,11,7,0.0182,18.2,ot
108,t9,or,11,8,0.0198,19.8,ot
109,t9,or,11,9,0.0166,16.6,ot
110,t9,or,11,10,0.0185,18.5,ot
111,t9,cn,12,1,0.0144,14.4,ot
112,t9,cn,12,2,0.0187,18.7,ot
113,t9,cn,12,3,0.0186,18.6,ot
114,t9,cn,12,4,0.0156,15.6,ot
115,t9,cn,12,5,0.0162,16.2,ot
116,t9,cn,12,6,0.0164,16.4,ot
117,t9,cn,12,7,0.0181,18.1,ot
118,t9,cn,12,8,0.0189,18.9,ot
119,t9,cn,12,9,0.0145,14.5,ot
120,t9,cn,12,10,0.0161,16.1,ot
121,cor,cn,13,1,0.0036,3.6,oc
122,cor,cn,13,2,0.0041,4.1,oc
123,cor,cn,13,3,0.0023,2.3,oc
124,cor,cn,13,4,0.0035,3.5,oc
125,cor,cn,13,5,0.0047,4.7,oc
126,cor,cn,13,6,0.0042,4.2,oc
127,cor,cn,13,7,0.0038,3.8,oc
128,cor,cn,13,8,0.0021,2.1,oc
129,cor,cn,13,9,0.0045,4.5,oc
130,t9,oc,14,1,0.0183,18.3,ot
131,t9,oc,14,2,0.0169,16.9,ot
132,t9,oc,14,3,0.0168,16.8,ot
133,t9,oc,14,4,0.0183,18.3,ot
134,t9,oc,14,5,0.0155,15.5,ot
135,t9,oc,14,6,0.017,17,ot
136,t9,oc,14,7,0.018,18,ot
137,t9,oc,14,8,0.0173,17.3,ot
138,t9,oc,14,9,0.0188,18.8,ot
139,t9,oc,14,10,0.0185,18.5,ot
140,s10,au,15,1,0.01,10,os
141,s10,au,15,2,0.0089,8.9,os
142,s10,au,15,3,0.0095,9.5,os
143,s10,au,15,4,0.0095,9.5,os
144,s10,au,15,5,0.0099,9.9,os
145,s10,au,15,6,0.0102,10.2,os
146,s10,au,15,7,0.01,10,os
147,s10,au,15,8,0.0097,9.7,os
148,s10,au,15,9,0.0089,8.9,os
149,s10,au,15,10,0.0109,10.9,os
150,c31,en,16,1,0.0058,5.8,oc
151,c31,en,16,2,0.0059,5.9,oc
152,c31,en,16,3,0.0069,6.9,oc
153,c31,en,16,4,0.0059,5.9,oc
154,c31,en,16,5,0.0065,6.5,oc
155,c31,en,16,6,0.0054,5.4,oc
156,c31,en,16,7,0.0068,6.8,oc
157,c31,en,16,8,0.0053,5.3,oc
158,c31,en,16,9,0.0057,5.7,oc
159,c31,en,16,10,0.006,6,oc
160,t9,en,17,1,0.0184,18.4,ot
161,t9,en,17,2,0.0182,18.2,ot
162,t9,en,17,3,0.022,22,ot
163,t9,en,17,4,0.0229,22.9,ot
164,t9,en,17,5,0.0195,19.5,ot
165,t9,en,17,6,0.0218,21.8,ot
166,t9,en,17,7,0.0182,18.2,ot
167,t9,en,17,8,0.022,22,ot
168,t9,en,17,9,0.0228,22.8,ot
169,t9,en,17,10,0.0192,19.2,ot
170,t-t16,or,18,1,0.0254,25.4,ot
171,t-t16,or,18,2,0.0227,22.7,ot
172,t-t16,or,18,3,0.0206,20.6,ot
173,t-t16,or,18,4,0.0233,23.3,ot
174,t-t16,or,18,5,0.0217,21.7,ot
175,t-t16,or,18,6,0.0184,18.4,ot
176,t-t16,or,18,7,0.0226,22.6,ot
177,t-t16,or,18,8,0.023,23,ot
178,t-t16,or,18,9,0.023,23,ot
179,t-t16,or,18,10,0.0254,25.4,ot
180,t16,cn,19,1,0.0142,14.2,ot
181,t16,cn,19,2,0.0172,17.2,ot
182,t16,cn,19,3,0.0162,16.2,ot
183,t16,cn,19,4,0.0162,16.2,ot
184,t16,cn,19,5,0.0168,16.8,ot
185,t16,cn,19,6,0.0167,16.7,ot
186,t16,cn,19,7,0.017,17,ot
187,t16,cn,19,8,0.018,18,ot
188,t16,cn,19,9,0.0151,15.1,ot
189,t16,cn,19,10,0.0177,17.7,ot
190,t12,os,20,1,0.0179,17.9,ot
191,t12,os,20,2,0.0183,18.3,ot
192,t12,os,20,3,0.0163,16.3,ot
193,t12,os,20,4,0.0173,17.3,ot
194,t12,os,20,5,0.018,18,ot
195,t12,os,20,6,0.0149,14.9,ot
196,t12,os,20,7,0.0179,17.9,ot
197,t12,os,20,8,0.0156,15.6,ot
198,t12,os,20,9,0.0171,17.1,ot
199,t12,os,20,10,0.0158,15.8,ot
200,t12,au,21,1,0.0172,17.2,ot
201,t12,au,21,2,0.0165,16.5,ot
202,t12,au,21,3,0.0155,15.5,ot
203,t12,au,21,4,0.0167,16.7,ot
204,t12,au,21,5,0.0181,18.1,ot
205,t12,au,21,6,0.0168,16.8,ot
206,t12,au,21,7,0.0156,15.6,ot
207,t12,au,21,8,0.0158,15.8,ot
208,t12,au,21,9,0.017,17,ot
209,t12,au,21,10,0.0154,15.4,ot
210,t16,au,22,1,0.0152,15.2,ot
211,t16,au,22,2,0.0183,18.3,ot
212,t16,au,22,3,0.0178,17.8,ot
213,t16,au,22,4,0.0179,17.9,ot
214,t16,au,22,5,0.0174,17.4,ot
215,t16,au,22,6,0.0181,18.1,ot
216,t16,au,22,7,0.0154,15.4,ot
217,t16,au,22,8,0.0154,15.4,ot
218,t16,au,22,9,0.0156,15.6,ot
219,t16,au,22,10,0.0155,15.5,ot
220,t12,cn,23,1,0.0151,15.1,ot
221,t12,cn,23,2,0.0104,10.4,ot
222,t12,cn,23,3,0.0137,13.7,ot
223,t12,cn,23,4,0.0147,14.7,ot
224,t12,cn,23,5,0.0135,13.5,ot
225,t12,cn,23,6,0.0145,14.5,ot
226,t12,cn,23,7,0.014,14,ot
227,t12,cn,23,8,0.0152,15.2,ot
228,t12,cn,23,9,0.0149,14.9,ot
229,t12,cn,23,10,0.0131,13.1,ot
230,c32,en,24,1,0.0065,6.5,oc
231,c32,en,24,2,0.0056,5.6,oc
232,c32,en,24,3,0.0065,6.5,oc
233,c32,en,24,4,0.0061,6.1,oc
234,c32,en,24,5,0.007,7,oc
235,c32,en,24,6,0.0068,6.8,oc
236,c32,en,24,7,0.0069,6.9,oc
237,c32,en,24,8,0.0065,6.5,oc
238,c32,en,24,9,0.0067,6.7,oc
239,c32,en,24,10,0.0054,5.4,oc
240,t16,en,25,1,0.0204,20.4,ot
241,t16,en,25,2,0.0162,16.2,ot
242,t16,en,25,3,0.0188,18.8,ot
243,t16,en,25,4,0.0194,19.4,ot
244,t16,en,25,5,0.0181,18.1,ot
245,t16,en,25,6,0.0199,19.9,ot
246,t16,en,25,7,0.0201,20.1,ot
247,t16,en,25,8,0.0183,18.3,ot
248,t16,en,25,9,0.0179,17.9,ot
249,t16,en,25,10,0.0179,17.9,ot
250,t12,oc,26,1,0.0123,12.3,ot
251,t12,oc,26,2,0.0144,14.4,ot
252,t12,oc,26,3,0.0147,14.7,ot
253,t12,oc,26,4,0.0145,14.5,ot
254,t12,oc,26,5,0.0132,13.2,ot
255,t12,oc,26,6,0.0149,14.9,ot
256,t12,oc,26,7,0.0137,13.7,ot
257,t12,oc,26,8,0.014,14,ot
258,t12,oc,26,9,0.0146,14.6,ot
259,t12,oc,26,10,0.0132,13.2,ot
260,sf,au,27,1,0.0183,18.3,os
261,sf,au,27,2,0.0163,16.3,os
262,sf,au,27,3,0.0182,18.2,os
263,sf,au,27,4,0.0183,18.3,os
264,sf,au,27,5,0.0176,17.6,os
265,sf,au,27,6,0.0169,16.9,os
266,sf,au,27,7,0.0164,16.4,os
267,sf,au,27,8,0.0183,18.3,os
268,sf,au,27,9,0.0173,17.3,os
269,sf,au,27,10,0.0187,18.7,os
270,t41,au,28,1,0.0198,19.8,ot
271,t41,au,28,2,0.0205,20.5,ot
272,t41,au,28,3,0.0206,20.6,ot
273,t41,au,28,4,0.0186,18.6,ot
274,t41,au,28,5,0.0211,21.1,ot
275,t41,au,28,6,0.0186,18.6,ot
276,t41,au,28,7,0.0195,19.5,ot
277,t41,au,28,8,0.0211,21.1,ot
278,t41,au,28,9,0.0181,18.1,ot
279,t41,au,28,10,0.0215,21.5,ot
280,t41,en,29,1,0.0177,17.7,ot
281,t41,en,29,2,0.0163,16.3,ot
282,t41,en,29,3,0.0163,16.3,ot
283,t41,en,29,4,0.0172,17.2,ot
284,t41,en,29,5,0.0175,17.5,ot
285,t41,en,29,6,0.0175,17.5,ot
286,t41,en,29,7,0.0176,17.6,ot
287,t41,en,29,8,0.0163,16.3,ot
288,t41,en,29,9,0.0165,16.5,ot
289,t41,en,29,10,0.0177,17.7,ot
290,c34,en,30,1,0.0078,7.8,oc
291,c34,en,30,2,0.0098,9.8,oc
292,c34,en,30,3,0.0097,9.7,oc
293,c34,en,30,4,0.0099,9.9,oc
294,c34,en,30,5,0.0098,9.8,oc
295,c34,en,30,6,0.0078,7.8,oc
296,c34,en,30,7,0.0098,9.8,oc
297,c34,en,30,8,0.0089,8.9,oc
298,c34,en,30,9,0.0089,8.9,oc
299,c34,en,30,10,0.0095,9.5,oc
300,t41,oc,31,1,0.0161,16.1,ot
301,t41,oc,31,2,0.0149,14.9,ot
302,t41,oc,31,3,0.0149,14.9,ot
303,t41,oc,31,4,0.0158,15.8,ot
304,t41,oc,31,5,0.0151,15.1,ot
305,t41,oc,31,6,0.0147,14.7,ot
306,t41,oc,31,7,0.0156,15.6,ot
307,t41,oc,31,8,0.0156,15.6,ot
308,t41,oc,31,9,0.0147,14.7,ot
309,t41,oc,31,10,0.0156,15.6,ot
310,sf,or,32,1,0.0156,15.6,os
311,sf,or,32,2,0.0154,15.4,os
312,sf,or,32,3,0.0136,13.6,os
313,sf,or,32,4,0.0143,14.3,os
314,sf,or,32,5,0.0145,14.5,os
315,sf,or,32,6,0.0148,14.8,os
316,sf,or,32,7,0.0156,15.6,os
317,sf,or,32,8,0.0148,14.8,os
318,sf,or,32,9,0.0148,14.8,os
319,sf,or,32,10,0.015,15,os
320,t23,oc,33,1,0.0173,17.3,ot
321,t23,oc,33,2,0.0182,18.2,ot
322,t23,oc,33,3,0.0164,16.4,ot
323,t23,oc,33,4,0.0161,16.1,ot
324,t23,oc,33,5,0.0158,15.8,ot
325,t23,oc,33,6,0.0177,17.7,ot
326,t23,oc,33,7,0.0162,16.2,ot
327,t23,oc,33,8,0.0179,17.9,ot
328,t23,oc,33,9,0.0146,14.6,ot
329,t23,oc,33,10,0.0182,18.2,ot
330,t23,en,34,1,0.0184,18.4,ot
331,t23,en,34,2,0.0194,19.4,ot
332,t23,en,34,3,0.0199,19.9,ot
333,t23,en,34,4,0.0187,18.7,ot
334,t23,en,34,5,0.0192,19.2,ot
335,t23,en,34,6,0.0185,18.5,ot
336,t23,en,34,7,0.0189,18.9,ot
337,t23,en,34,8,0.0204,20.4,ot
338,t23,en,34,9,0.0164,16.4,ot
339,t23,en,34,10,0.0166,16.6,ot
340,t23,os,35,1,0.0194,19.4,ot
341,t23,os,35,2,0.0181,18.1,ot
342,t23,os,35,3,0.0189,18.9,ot
343,t23,os,35,4,0.0183,18.3,ot
344,t23,os,35,5,0.0207,20.7,ot
345,t23,os,35,6,0.0178,17.8,ot
346,t23,os,35,7,0.0202,20.2,ot
347,t23,os,35,8,0.0077,7.7,ot
348,t23,os,35,9,0.0162,16.2,ot
349,t23,os,35,10,0.0162,16.2,ot
350,td36,en,36,1,0.0192,19.2,ot
351,td36,en,36,2,0.0223,22.3,ot
352,td36,en,36,3,0.0179,17.9,ot
353,td36,en,36,4,0.0186,18.6,ot
354,td36,en,36,5,0.0213,21.3,ot
355,td36,en,36,6,0.0186,18.6,ot
356,td36,en,36,7,0.0186,18.6,ot
357,td36,en,36,8,0.0201,20.1,ot
358,td36,en,36,9,0.0217,21.7,ot
359,td36,en,36,10,0.0179,17.9,ot
360,c22,cn,37,1,0.0085,8.5,oc
361,c22,cn,37,2,0.0102,10.2,oc
362,c22,cn,37,3,0.0085,8.5,oc
363,c22,cn,37,4,0.0085,8.5,oc
364,c22,cn,37,5,0.01,10,oc
365,c22,cn,37,6,0.008,8,oc
366,c22,cn,37,7,0.0083,8.3,oc
367,c22,cn,37,8,0.008,8,oc
368,c22,cn,37,9,0.0083,8.3,oc
369,c22,cn,37,10,0.01,10,oc
370,c21a,cn,38,1,0.0029,2.9,oc
371,c21a,cn,38,2,0.004,4,oc
372,c21a,cn,38,3,0.0087,8.7,oc
373,c21a,cn,38,4,0.0068,6.8,oc
374,c21a,cn,38,5,0.0079,7.9,oc
375,c21a,cn,38,6,0.0079,7.9,oc
376,c21a,cn,38,7,0.0071,7.1,oc
377,s33,ot,39,1,0.0163,16.3,os
378,s33,ot,39,2,0.016,16,os
379,s33,ot,39,3,0.0132,13.2,os
380,s33,ot,39,4,0.0132,13.2,os
381,s33,ot,39,5,0.0133,13.3,os
382,s33,ot,39,6,0.0147,14.7,os
383,s33,ot,39,7,0.0131,13.1,os
384,s33,ot,39,8,0.013,13,os
385,s33,ot,39,9,0.0134,13.4,os
386,s33,ot,39,10,0.015,15,os
387,c34,cn,40,1,0.0134,13.4,oc
388,c34,cn,40,2,0.0125,12.5,oc
389,c34,cn,40,3,0.0125,12.5,oc
390,c34,cn,40,4,0.0122,12.2,oc
391,c34,cn,40,5,0.012,12,oc
392,c34,cn,40,6,0.0122,12.2,oc
393,c34,cn,40,7,0.0134,13.4,oc
394,c34,cn,40,8,0.0129,12.9,oc
395,c34,cn,40,9,0.0131,13.1,oc
396,c34,cn,40,10,0.0134,13.4,oc
397,s33,oc,41,1,0.0132,13.2,os
398,s33,oc,41,2,0.0116,11.6,os
399,s33,oc,41,3,0.0116,11.6,os
400,s33,oc,41,4,0.0133,13.3,os
401,s33,oc,41,5,0.0118,11.8,os
402,s33,oc,41,6,0.013,13,os
403,s33,oc,41,7,0.0133,13.3,os
404,s33,oc,41,8,0.0132,13.2,os
405,s33,oc,41,9,0.0124,12.4,os
406,s33,oc,41,10,0.0132,13.2,os
407,s33,or,42,1,0.0149,14.9,os
408,s33,or,42,2,0.0127,12.7,os
409,s33,or,42,3,0.014,14,os
410,s33,or,42,4,0.0126,12.6,os
411,s33,or,42,5,0.0136,13.6,os
412,s33,or,42,6,0.0131,13.1,os
413,s33,or,42,7,0.0129,12.9,os
414,s33,or,42,8,0.0126,12.6,os
415,s33,or,42,9,0.0133,13.3,os
416,s33,or,42,10,0.0127,12.7,os
417,g1,ot,43,1,0.0224,22.4,os
418,g1,ot,43,2,0.0192,19.2,os
419,g1,ot,43,3,0.0223,22.3,os
420,g1,ot,43,4,0.0224,22.4,os
421,g1,ot,43,5,0.0226,22.6,os
422,g1,ot,43,6,0.0208,20.8,os
423,g1,ot,43,7,0.0223,22.3,os
424,g1,ot,43,8,0.0216,21.6,os
425,g1,ot,43,9,0.0226,22.6,os
426,g1,ot,43,10,0.0208,20.8,os
427,s36,en,44,1,0.0138,13.8,os
428,s36,en,44,2,0.0166,16.6,os
429,s36,en,44,3,0.0138,13.8,os
430,s36,en,44,4,0.0137,13.7,os
431,s36,en,44,5,0.016,16,os
432,s36,en,44,6,0.014,14,os
433,s36,en,44,7,0.0155,15.5,os
434,s36,en,44,8,0.0142,14.2,os
435,s36,en,44,9,0.0138,13.8,os
436,s36,en,44,10,0.0142,14.2,os
437,s20,oc,45,1,0.019,19,os
438,s20,oc,45,2,0.0156,15.6,os
439,s20,oc,45,3,0.0175,17.5,os
440,s20,oc,45,4,0.0179,17.9,os
441,s20,oc,45,5,0.0179,17.9,os
442,s20,oc,45,6,0.0169,16.9,os
443,s20,oc,45,7,0.0156,15.6,os
444,s20,oc,45,8,0.014,14,os
445,s20,oc,45,9,0.0166,16.6,os
446,s20,oc,45,10,0.0159,15.9,os
447,tl8,cn,46,1,0.0223,22.3,ot
448,tl8,cn,46,2,0.0213,21.3,ot
449,tl8,cn,46,3,0.0222,22.2,ot
450,tl8,cn,46,4,0.0222,22.2,ot
451,tl8,cn,46,5,0.0205,20.5,ot
452,tl8,cn,46,6,0.0213,21.3,ot
453,tl8,cn,46,7,0.0211,21.1,ot
454,tl8,cn,46,8,0.0205,20.5,ot
455,tl8,cn,46,9,0.023,23,ot
456,tl8,cn,46,10,0.0214,21.4,ot
457,t44,cn,47,1,0.016,16,ot
458,t44,cn,47,2,0.0241,24.1,ot
459,t44,cn,47,3,0.0176,17.6,ot
460,t44,cn,47,4,0.0184,18.4,ot
461,t44,cn,47,5,0.016,16,ot
462,t44,cn,47,6,0.022,22,ot
463,t44,cn,47,7,0.023,23,ot
464,t44,cn,47,8,0.0259,25.9,ot
465,t44,cn,47,9,0.017,17,ot
466,t44,cn,47,10,0.0177,17.7,ot
467,td36,cn,48,1,0.0223,22.3,ot
468,td36,cn,48,2,0.0178,17.8,ot
469,td36,cn,48,3,0.0213,21.3,ot
470,td36,cn,48,4,0.0207,20.7,ot
471,td36,cn,48,5,0.0189,18.9,ot
472,td36,cn,48,6,0.0213,21.3,ot
473,td36,cn,48,7,0.0223,22.3,ot
474,td36,cn,48,8,0.018,18,ot
475,td36,cn,48,9,0.0194,19.4,ot
476,td36,cn,48,10,0.0218,21.8,ot
477,td36,os,49,1,0.0224,22.4,ot
478,td36,os,49,2,0.025,25,ot
479,td36,os,49,3,0.0227,22.7,ot
480,td36,os,49,4,0.0207,20.7,ot
481,td36,os,49,5,0.0243,24.3,ot
482,td36,os,49,6,0.022,22,ot
483,td36,os,49,7,0.0211,21.1,ot
484,td36,os,49,8,0.0209,20.9,ot
485,td36,os,49,9,0.0248,24.8,ot
